index	DrugBankID
0	DB01419
1	DB00953
2	DB08807
3	DB00952
4	DB01411
5	DB01410
6	DB06637
7	DB01412
8	DB00898
9	DB06800
10	DB00899
11	DB08906
12	DB00568
13	DB06216
14	DB00957
15	DB04573
16	DB00906
17	DB00956
18	DB01406
19	DB01099
20	DB00771
21	DB01620
22	DB01065
23	DB01095
24	DB01094
25	DB01097
26	DB00770
27	DB01091
28	DB01090
29	DB01092
30	DB08801
31	DB01259
32	DB01255
33	DB01254
34	DB01253
35	DB00890
36	DB01251
37	DB01250
38	DB00964
39	DB01076
40	DB01075
41	DB01074
42	DB01073
43	DB01071
44	DB01070
45	DB01176
46	DB00896
47	DB01174
48	DB01175
49	DB01173
50	DB01170
51	DB00897
52	DB00894
53	DB01109
54	DB01233
55	DB00895
56	DB05013
57	DB00470
58	DB00471
59	DB00472
60	DB00473
61	DB00474
62	DB00476
63	DB00477
64	DB01656
65	DB06196
66	DB00579
67	DB01003
68	DB01001
69	DB01006
70	DB01007
71	DB01005
72	DB00571
73	DB00570
74	DB00573
75	DB00572
76	DB00575
77	DB00751
78	DB00619
79	DB00753
80	DB00752
81	DB00755
82	DB00754
83	DB00209
84	DB00208
85	DB00610
86	DB00206
87	DB00205
88	DB00204
89	DB00203
90	DB00202
91	DB00201
92	DB00200
93	DB00924
94	DB08918
95	DB01614
96	DB08881
97	DB08882
98	DB01613
99	DB08802
100	DB01612
101	DB00683
102	DB00682
103	DB00680
104	DB00687
105	DB00686
106	DB00685
107	DB06712
108	DB00688
109	DB00373
110	DB00341
111	DB00278
112	DB00279
113	DB00377
114	DB00376
115	DB00374
116	DB00272
117	DB00273
118	DB00270
119	DB00378
120	DB00276
121	DB00277
122	DB00275
123	DB00104
124	DB01407
125	DB00745
126	DB06711
127	DB01351
128	DB00966
129	DB00922
130	DB00967
131	DB00294
132	DB00295
133	DB00296
134	DB00297
135	DB00290
136	DB00740
137	DB00292
138	DB00293
139	DB01615
140	DB00741
141	DB00298
142	DB01098
143	DB00884
144	DB05389
145	DB01586
146	DB06738
147	DB00198
148	DB08896
149	DB00195
150	DB01452
151	DB00193
152	DB00192
153	DB00191
154	DB00190
155	DB01288
156	DB01289
157	DB01146
158	DB00920
159	DB01282
160	DB01283
161	DB04840
162	DB06287
163	DB06698
164	DB06699
165	DB01143
166	DB06694
167	DB06695
168	DB06288
169	DB06716
170	DB00822
171	DB00996
172	DB00995
173	DB01210
174	DB00993
175	DB00992
176	DB00858
177	DB00990
178	DB00750
179	DB00857
180	DB00854
181	DB00855
182	DB00852
183	DB00700
184	DB00850
185	DB00851
186	DB00324
187	DB00325
188	DB06213
189	DB00881
190	DB00707
191	DB01039
192	DB00327
193	DB01033
194	DB00320
195	DB01031
196	DB01030
197	DB01037
198	DB00972
199	DB01035
200	DB01034
201	DB01611
202	DB00322
203	DB01349
204	DB00880
205	DB00323
206	DB01202
207	DB01348
208	DB00539
209	DB01260
210	DB00637
211	DB00535
212	DB00534
213	DB00537
214	DB00536
215	DB00530
216	DB01252
217	DB06701
218	DB01327
219	DB01325
220	DB01324
221	DB01320
222	DB01077
223	DB01107
224	DB01144
225	DB00328
226	DB01142
227	DB00498
228	DB00499
229	DB00496
230	DB00497
231	DB00494
232	DB00495
233	DB00492
234	DB00321
235	DB00490
236	DB00491
237	DB06267
238	DB05039
239	DB00978
240	DB01178
241	DB06775
242	DB01179
243	DB08799
244	DB06262
245	DB00409
246	DB00408
247	DB01130
248	DB01131
249	DB01136
250	DB00035
251	DB00612
252	DB01135
253	DB00401
254	DB00400
255	DB00403
256	DB00402
257	DB00405
258	DB00407
259	DB00148
260	DB00149
261	DB00663
262	DB00925
263	DB00665
264	DB05271
265	DB00667
266	DB00666
267	DB00140
268	DB00141
269	DB00887
270	DB00143
271	DB00144
272	DB00145
273	DB00146
274	DB00147
275	DB00391
276	DB00390
277	DB00393
278	DB00392
279	DB00394
280	DB00397
281	DB00396
282	DB00399
283	DB00398
284	DB08893
285	DB01078
286	DB01238
287	DB05630
288	DB01108
289	DB06777
290	DB01128
291	DB00243
292	DB00242
293	DB00241
294	DB00240
295	DB00247
296	DB00246
297	DB00245
298	DB00244
299	DB00928
300	DB00759
301	DB00248
302	DB00719
303	DB01425
304	DB01236
305	DB00370
306	DB01628
307	DB01231
308	DB01401
309	DB01011
310	DB00812
311	DB00813
312	DB00810
313	DB00811
314	DB00816
315	DB01088
316	DB00814
317	DB08936
318	DB00758
319	DB06209
320	DB00818
321	DB00819
322	DB01356
323	DB01069
324	DB01132
325	DB04946
326	DB04868
327	DB04942
328	DB01133
329	DB04861
330	DB04948
331	DB01010
332	DB04865
333	DB01209
334	DB06766
335	DB06268
336	DB06589
337	DB00977
338	DB06204
339	DB00963
340	DB04837
341	DB06207
342	DB01280
343	DB01137
344	DB01619
345	DB01626
346	DB05812
347	DB00929
348	DB08897
349	DB06203
350	DB01420
351	DB01138
352	DB01032
353	DB00867
354	DB00866
355	DB00865
356	DB00864
357	DB00863
358	DB00862
359	DB00861
360	DB00860
361	DB01083
362	DB01080
363	DB01081
364	DB01086
365	DB01087
366	DB00869
367	DB00868
368	DB01248
369	DB01244
370	DB01245
371	DB01246
372	DB01247
373	DB01240
374	DB01241
375	DB01242
376	DB01064
377	DB00661
378	DB00599
379	DB00598
380	DB08808
381	DB01062
382	DB00927
383	DB00593
384	DB00592
385	DB00591
386	DB00590
387	DB01068
388	DB00596
389	DB01105
390	DB00594
391	DB06335
392	DB02300
393	DB00889
394	DB01106
395	DB01625
396	DB01207
397	DB01002
398	DB00564
399	DB00565
400	DB00449
401	DB00448
402	DB00561
403	DB00445
404	DB00444
405	DB00446
406	DB00441
407	DB00440
408	DB00443
409	DB00569
410	DB00720
411	DB00669
412	DB06710
413	DB01403
414	DB01400
415	DB00668
416	DB01567
417	DB01100
418	DB01394
419	DB01408
420	DB01409
421	DB01616
422	DB00968
423	DB00969
424	DB00218
425	DB00219
426	DB00748
427	DB00749
428	DB00214
429	DB00215
430	DB00216
431	DB00217
432	DB00210
433	DB00211
434	DB00212
435	DB00213
436	DB01587
437	DB01558
438	DB08890
439	DB01583
440	DB00883
441	DB08894
442	DB01559
443	DB01623
444	DB01194
445	DB00882
446	DB01589
447	DB01588
448	DB00690
449	DB00691
450	DB00692
451	DB01009
452	DB00694
453	DB00695
454	DB00696
455	DB00697
456	DB00699
457	DB06772
458	DB00360
459	DB00361
460	DB00363
461	DB00364
462	DB06802
463	DB00366
464	DB00367
465	DB00368
466	DB09018
467	DB06809
468	DB00131
469	DB00130
470	DB00133
471	DB00132
472	DB00135
473	DB00134
474	DB08899
475	DB00136
476	DB00139
477	DB00138
478	DB00723
479	DB06201
480	DB06751
481	DB01621
482	DB00918
483	DB00917
484	DB00979
485	DB00915
486	DB00914
487	DB00913
488	DB00912
489	DB08800
490	DB00910
491	DB00757
492	DB00724
493	DB00756
494	DB04880
495	DB00624
496	DB00627
497	DB00626
498	DB00188
499	DB00620
500	DB00623
501	DB00611
502	DB00184
503	DB00185
504	DB00186
505	DB00187
506	DB00180
507	DB00181
508	DB00182
509	DB00183
510	DB08901
511	DB00613
512	DB00725
513	DB01261
514	DB00622
515	DB01208
516	DB00615
517	DB06292
518	DB00616
519	DB00617
520	DB04794
521	DB00984
522	DB00985
523	DB00829
524	DB00987
525	DB00980
526	DB00981
527	DB00982
528	DB00983
529	DB00823
530	DB00629
531	DB00821
532	DB00820
533	DB00988
534	DB00989
535	DB00825
536	DB00628
537	DB06616
538	DB01149
539	DB00991
540	DB06594
541	DB06725
542	DB01084
543	DB01028
544	DB00728
545	DB01382
546	DB01384
547	DB00729
548	DB01020
549	DB01021
550	DB01022
551	DB01023
552	DB01024
553	DB01025
554	DB01026
555	DB01213
556	DB01148
557	DB01177
558	DB00484
559	DB00715
560	DB00528
561	DB00714
562	DB00523
563	DB00521
564	DB00527
565	DB00524
566	DB06691
567	DB00337
568	DB00716
569	DB01338
570	DB01339
571	DB00621
572	DB00711
573	DB01336
574	DB01337
575	DB00722
576	DB00710
577	DB01154
578	DB00318
579	DB01156
580	DB00091
581	DB01151
582	DB01618
583	DB00659
584	DB00310
585	DB00313
586	DB00312
587	DB00315
588	DB01159
589	DB00317
590	DB00316
591	DB08822
592	DB00726
593	DB08932
594	DB00712
595	DB01375
596	DB06714
597	DB00412
598	DB00413
599	DB06707
600	DB00411
601	DB00795
602	DB00794
603	DB00797
604	DB00796
605	DB00790
606	DB00418
607	DB00419
608	DB00559
609	DB00558
610	DB00557
611	DB00555
612	DB00554
613	DB00552
614	DB00551
615	DB00550
616	DB00777
617	DB00776
618	DB00775
619	DB00774
620	DB00773
621	DB00772
622	DB00678
623	DB00679
624	DB00892
625	DB00677
626	DB00674
627	DB00675
628	DB00672
629	DB00673
630	DB00670
631	DB00778
632	DB08820
633	DB00388
634	DB00389
635	DB00387
636	DB00384
637	DB00385
638	DB00383
639	DB00380
640	DB00381
641	DB08877
642	DB04786
643	DB00371
644	DB08827
645	DB00703
646	DB00252
647	DB00253
648	DB00706
649	DB00255
650	DB00704
651	DB00257
652	DB00708
653	DB01200
654	DB01215
655	DB04835
656	DB06155
657	DB01171
658	DB06151
659	DB00986
660	DB04841
661	DB01203
662	DB01204
663	DB00379
664	DB01205
665	DB04878
666	DB05294
667	DB01206
668	DB01189
669	DB04876
670	DB04877
671	DB00175
672	DB00174
673	DB00177
674	DB00176
675	DB00171
676	DB00170
677	DB00173
678	DB00172
679	DB00179
680	DB00178
681	DB01118
682	DB01050
683	DB04838
684	DB06439
685	DB01435
686	DB04839
687	DB08819
688	DB01357
689	DB00824
690	DB00950
691	DB01370
692	DB00875
693	DB00876
694	DB00877
695	DB00870
696	DB00871
697	DB00872
698	DB00873
699	DB06237
700	DB04842
